Label,Centroid.X,Centroid.Y
1,1131.670,113.557
2,1199.010,127.305
3,1334.534,136.057
4,1088.595,136.321
5,1163.321,136.595
6,1245.623,160.803
7,1265.048,163.980
8,1355.046,166.641
9,1131.677,166.167
10,1493.033,167.025
11,1060.679,166.741
12,1280.427,171.477
13,1156.000,172.357
14,1463.218,174.622
15,1222.279,176.129
16,1104.914,178.704
17,1130.164,185.932
18,984.987,180.600
19,1050.358,186.679
20,1378.307,185.498
21,1094.733,185.971
22,1158.783,188.252
23,1192.629,186.391
24,1210.037,188.740
25,1985.119,187.444
26,1110.204,190.493
27,979.207,188.903
28,999.872,194.835
29,1068.694,192.197
30,1144.731,195.452
31,1178.581,195.236
32,967.164,196.397
33,1080.177,199.590
34,1443.369,199.277
35,1193.515,199.737
36,982.315,203.592
37,1388.781,200.570
38,1407.054,204.527
39,1103.103,206.679
40,1120.505,203.320
41,1163.879,209.049
42,1053.691,205.223
43,1348.845,210.655
44,1142.801,209.424
45,1069.479,214.131
46,995.754,210.487
47,1017.651,210.295
48,1212.826,215.795
49,1369.667,214.630
50,952.564,209.089
51,1233.720,213.097
52,1262.681,213.777
53,1428.773,210.865
54,1664.748,210.656
55,966.742,213.602
56,1090.079,216.497
57,1127.801,216.850
58,1182.448,220.102
59,1480.239,220.984
60,1501.710,223.910
61,1046.366,221.686
62,1531.199,220.959
63,983.102,219.607
64,1253.235,225.270
65,1006.314,223.941
66,1391.392,220.226
67,1111.468,226.718
68,1315.366,225.587
69,1201.944,225.552
70,1273.446,227.779
71,1625.458,222.495
72,1860.508,225.482
73,1549.203,224.939
74,956.326,226.396
75,1059.512,229.562
76,1152.241,229.184
77,971.224,229.034
78,1030.306,231.278
79,874.007,229.066
80,1233.862,230.642
81,1289.933,235.000
82,1570.172,232.412
83,915.938,232.460
84,989.000,232.535
85,1075.857,233.900
86,1094.723,235.652
87,1133.233,237.122
88,891.973,234.890
89,1426.079,237.353
90,1741.689,232.467
91,1196.909,236.732
92,1409.077,235.313
93,1882.756,234.323
94,1219.269,245.174
95,1552.296,240.774
96,1446.305,237.351
97,1840.364,240.888
98,945.544,240.175
99,960.880,240.760
100,1178.150,242.293
101,1656.744,237.081
102,1600.067,245.586
103,1048.302,244.748
104,1156.398,245.446
105,1248.675,245.039
106,908.915,248.319
107,931.056,247.201
108,979.517,246.090
109,1113.628,244.591
110,1269.703,246.324
111,999.646,247.732
112,1389.794,245.436
113,1305.563,251.344
114,1324.565,252.585
115,1355.039,251.053
116,1066.134,249.237
117,1501.772,247.919
118,1820.092,245.728
119,1617.776,248.041
120,1016.476,251.162
121,1032.560,250.627
122,1083.450,252.047
123,1450.447,254.946
124,1536.188,247.630
125,1477.997,253.350
126,1406.378,252.759
127,890.460,254.167
128,1197.444,253.485
129,1492.766,262.967
130,1171.078,259.550
131,1143.445,259.981
132,966.221,256.398
133,1127.622,263.178
134,1285.791,259.240
