Label,Mean
1,0.340
2,0.152
3,0.591
4,0.607
5,0.595
6,0.611
7,3.840
8,0.548
9,0.354
10,0.893
11,3.402
12,0.981
13,1.126
14,4.612
15,1.033
16,2.173
17,6.855
18,0.027
19,2.992
20,1.082
21,1.727
22,0.000
23,1.330
24,7.707
25,1.556
26,1.514
27,0.021
28,1.180
29,1.612
30,7.145
31,4.352
32,4.879
33,8.007
34,16.583
35,5.175
36,4.708
37,1.904
38,3.664
39,1.439
40,2.814
41,0.808
42,5.219
43,0.754
44,0.678
45,9.005
46,7.508
47,3.288
48,1.929
49,3.191
50,0.010
51,1.108
52,2.936
53,1.714
54,0.106
55,4.670
56,2.604
57,2.672
58,1.389
59,1.909
60,2.173
61,1.376
62,1.423
63,0.939
64,0.571
65,3.079
66,0.829
67,2.446
68,0.454
69,1.196
70,0.799
71,0.477
72,0.492
73,1.772
74,3.056
75,7.612
76,2.130
77,2.266
78,3.538
79,0.546
80,2.136
81,0.224
82,1.688
83,1.024
84,3.770
85,0.600
86,1.961
87,6.202
88,2.807
89,3.971
90,1.300
91,2.366
92,8.154
93,5.134
94,3.459
95,3.215
96,2.162
97,1.354
98,10.029
99,5.728
100,1.981
101,0.564
102,9.347
103,0.751
104,0.647
105,0.164
106,1.330
107,3.944
108,8.455
109,3.435
110,0.021
111,2.749
112,0.784
113,5.524
114,3.023
115,0.350
116,1.754
117,0.815
118,3.230
119,1.890
120,0.964
121,0.363
122,0.767
123,1.310
124,0.455
125,5.963
126,1.556
127,0.103
128,1.494
129,6.814
130,1.078
131,0.563
132,1.311
133,1.529
134,2.699
135,8.510
136,0.140
137,2.007
138,0.291
139,1.102
140,0.591
141,6.634
142,1.182
143,2.985
144,1.678
145,3.479
146,4.856
147,3.938
148,1.011
149,4.905
150,1.164
151,3.520
152,8.282
153,0.843
154,1.217
155,2.088
156,1.440
157,9.564
158,0.648
159,1.002
160,0.943
161,0.975
162,5.798
163,0.025
164,3.113
165,7.314
166,5.331
167,0.337
168,0.530
169,1.934
170,5.657
171,0.074
172,0.463
173,0.585
174,8.629
175,1.321
176,9.537
177,5.184
178,0.114
179,4.946
180,0.382
181,1.373
182,3.044
183,3.958
184,8.630
185,0.464
186,2.921
187,0.342
188,0.007
189,3.133
190,4.283
191,6.154
192,0.679
193,4.595
194,2.070
195,7.593
196,3.235
197,0.510
198,1.096
199,8.813
200,5.601
201,10.108
202,4.997
203,2.117
204,6.343
205,24.502
206,0.806
207,0.163
208,0.350
209,0.314
210,7.587
211,3.189
212,12.702
213,3.462
214,1.477
215,1.416
216,0.371
217,4.175
218,1.319
219,3.409
220,12.178
221,0.983
222,0.888
223,8.523
224,0.649
225,0.232
226,1.446
227,1.418
228,1.821
229,14.916
230,12.314
231,0.349
232,3.848
233,0.871
234,6.197
235,8.722
236,15.933
237,0.375
238,0.000
239,1.265
240,0.000
241,0.032
242,0.388
243,5.320
244,0.483
245,3.951
246,0.719
247,3.242
248,0.533
249,6.674
250,2.322
251,11.306
252,5.479
253,1.723
254,6.206
255,4.124
256,1.207
257,3.136
258,3.341
259,0.283
260,2.827
261,5.294
262,3.669
263,0.232
264,3.036
265,2.062
266,2.157
267,3.690
268,0.044
269,1.827
270,0.448
271,1.990
272,17.470
273,1.400
274,0.995
275,2.674
276,1.509
277,14.698
278,3.407
279,1.926
280,4.669
281,1.432
282,2.720
283,4.349
284,0.317
285,0.606
286,3.802
287,3.200
288,1.499
289,0.354
290,4.039
291,3.118
292,0.345
293,3.991
294,0.289
295,0.360
296,1.100
297,4.082
298,12.008
299,1.547
300,3.302
301,0.340
302,3.333
303,2.130
304,2.380
305,23.717
306,3.891
307,0.372
308,2.133
309,1.141
310,4.145
311,2.334
312,0.353
313,0.415
314,0.241
315,59.318
316,57.694
317,5.574
318,1.637
319,5.694
320,3.420
321,0.204
322,1.406
323,8.809
324,1.636
325,1.285
326,4.726
327,5.983
328,0.333
329,4.310
330,0.430
331,2.700
332,2.796
333,3.055
334,5.757
335,2.041
336,1.755
337,3.327
338,0.007
339,6.253
340,0.455
341,0.585
342,0.211
343,5.689
344,0.518
345,0.189
346,2.109
347,4.216
348,0.023
349,1.280
350,0.338
351,8.478
352,1.639
353,1.074
354,5.334
355,4.035
356,0.241
357,36.741
358,5.798
359,3.339
360,0.074
361,0.236
362,2.111
363,5.635
364,3.470
365,0.468
366,4.219
367,5.012
368,4.418
369,0.860
370,0.478
371,0.060
372,1.024
373,1.059
374,3.790
375,3.030
376,8.456
377,1.280
378,0.997
379,3.588
380,0.392
381,1.025
382,3.075
383,15.756
384,0.092
385,2.839
386,7.100
387,0.883
388,0.763
389,0.000
390,0.770
391,1.491
392,3.088
393,8.912
394,0.678
395,4.944
396,3.721
397,1.672
398,11.368
399,4.413
400,3.759
401,6.602
402,0.047
403,0.217
404,0.129
405,0.859
406,4.113
407,16.328
408,1.874
409,0.510
410,0.987
411,2.292
412,7.539
413,6.670
414,3.078
415,2.007
416,1.269
417,2.555
418,1.091
419,4.540
420,3.746
421,2.257
422,0.129
423,0.220
424,0.367
425,2.195
426,2.624
427,2.979
428,4.239
429,0.155
430,4.158
431,0.855
432,12.975
433,0.010
434,0.650
435,2.700
436,2.976
437,3.673
438,4.858
439,1.118
440,2.357
441,0.594
442,0.587
443,2.350
444,2.422
445,10.296
446,0.290
447,0.057
448,24.491
449,20.086
450,12.327
451,0.357
452,5.042
453,3.178
454,9.070
455,0.417
456,0.588
457,0.384
458,4.011
459,2.822
460,4.972
461,1.169
462,1.036
463,0.411
464,1.849
