X,Y,Z
45358.7,43468.7,201.954
45380.4,43458,170.352
45422.6,43397.2,273.243
45447.7,43376.9,261.685
45349.9,43479.2,254.62
45228.3,43610.7,180.42
45403.2,43434.9,260.153
45407.6,43425.1,269.553
45324.6,43527.1,136.277
45367.7,43495.2,61.5997
45457.2,43390.8,280.887
45414.8,43432.9,258.826
45452.4,43407.8,178.589
45445.7,43419.9,210.425
45377.2,43491.9,183.34
45353.1,43523.9,136.682
45423.7,43442.8,196.146
45396.3,43476.7,162.523
45262.7,43600.7,258.48
45448,43432.1,242.756
45334.5,43563.9,31.8889
45280.1,43629.3,152.97
45455.4,43435.1,263.348
45449.4,43443,282.201
45459,43445.6,249.27
45437.3,43489.2,97.9326
45355.5,43585,79.4242
45288.4,43628.7,285.487
45457.6,43472.8,272.998
45415.2,43547.1,86.834
45448.1,43518.4,27.3045
45396.4,43559.7,97.9136
45414.6,43529.4,207.121
45437.5,43510.4,234.767
45375.5,43598.6,128.386
45445.8,43547.6,21.93
45397,43596.5,161.413
45446.2,43563.4,198.273
45400.3,43614.4,161.369
45460.1,43579.4,102.795
45398.6,43352,179.136
45438.1,43309.3,210.479
45231.6,43520.1,192.085
45350.8,43398.5,225.957
45287.5,43469.5,171.503
45146.4,43614.1,136.728
45177.1,43570.8,264.122
45459.4,43290.9,254.238
45449.3,43306,234.192
45327.6,43456.6,72.7959
45130,43630.1,270.073
45254.2,43535.3,86.87
45426.3,43342.1,251.209
45221.5,43553.4,241.929
45409.5,43373.5,215.505
45257,43521.7,186.09
45212.9,43572.2,162.174
45452.9,43330.7,260.185
45233.4,43573.7,95.0917
45416.3,43376.3,235.449
45252,43569.4,53.9609
45421.3,43389.9,227.441
45448.9,43355,235.627
45447.4,43356.5,253.009
45183,43625.5,223.769
45389.1,43419.3,234.219
45401.3,43405.3,271.846
45301.6,43513.2,200.295
45457.1,43357.6,224.224
45342.4,43471.2,234.061
45435.1,43384.6,225.046
45326.2,43501.7,162.64
45391.5,43451.1,76.0814
45077.5,43605.8,129.507
45434,43251.3,145.616
45308.7,43368.5,184.265
45160.7,43513.4,210.895
45157,43532.6,179.692
45327.8,43362.1,146.715
45186,43496.3,247.051
45447.7,43247.5,149.075
45129.5,43563.2,176.619
45329.1,43358.4,260.037
45336.8,43352.3,242.132
45388.2,43307.9,203.595
45353.3,43338.2,260.269
45294.4,43402,229.176
45245.5,43471.3,101.989
45167.7,43547.4,96.8829
45367.1,43336.9,231.272
45095,43621.9,149.11
45318.9,43410.8,50.709
45389.8,43315.9,214.147
45427.7,43290.4,141.167
45166.2,43538.1,266.511
45257.3,43468.2,97.3935
45227.9,43496.3,182.419
45356.8,43365.8,209.483
45374.2,43340.8,264.319
45229.1,43510.4,90.1567
45379.9,43344.5,220.605
45160.2,43564.5,196.848
45457.1,43259.7,283.615
45176.4,43560.6,136.185
45324,43416.1,123.441
45133.4,43595.4,233.89
45351.4,43393,121.794
45274,43459.8,211.058
45450.8,43280.2,222.246
45397.4,43341.4,203.239
45123.1,43625.8,160.629
45110.9,43500.8,248.322
45448.2,43171.5,200.217
45123.5,43510.4,95.2162
45204.8,43420.4,180.04
45407.7,43224.8,112.718
45126.4,43505.6,132.603
45371.3,43247.2,248.642
45370.1,43256.6,213.719
45458.6,43183.4,65.4542
45053.4,43585.4,102.633
45117.8,43522.7,96.9316
45063.6,43558.7,252.496
45098.5,43549.6,76.3954
45365.7,43262.1,237.635
45284.7,43369.1,54.0802
45310.8,43346.7,93.6728
45148.1,43508.9,52.2561
45272.2,43369,182.154
45168.5,43483.5,141.975
45124.2,43510,256.694
45124.2,43523.1,173.207
45290,43353.7,184.414
45306.4,43336.6,231.166
45459.1,43190.2,216.831
45407.5,43258.4,130.75
45443.9,43201.7,231.525
45056.5,43592.9,254.737
45336.1,43307,281.006
45120.9,43530.4,217.206
45366,43284.5,231.949
45163.9,43497.5,172.386
45362.4,43286.4,264.043
45142.9,43506.4,283.068
45180.9,43474.3,228.864
45130.8,43555.5,30.1934
45421,43237.4,256.75
45125.6,43549.7,149.969
45415.9,43241.6,284.26
45451.1,43228.5,113.418
45417.1,43174,118.066
45178.7,43398.2,275.513
45235.1,43357.2,86.6404
45234.1,43354.7,103.789
45425.3,43172.7,145.211
45194.3,43388.7,196.949
45407.3,43177.1,175.403
45145.7,43431.2,263.942
45208.8,43385.1,139.696
45168.4,43423.9,126.686
45241,43348.4,163.352
45162.1,43423.5,237.15
45130.1,43469.8,104.282
45020.8,43568.1,176.595
45400.5,43181.9,243.868
45120.5,43466.4,221.204
44961.2,43630.8,211.109
45108.7,43472.8,284.535
45058.9,43553.8,60.8958
45112.2,43495.6,102.016
45379.6,43213,209.319
44983.2,43613.4,181.894
45206.4,43405.8,78.481
45085.4,43529.3,74.8435
45300.6,43288.6,271.738
45447.6,43138.9,283.329
45416.8,43186.1,177.274
45146.9,43449.4,216.643
45163,43444.2,152.243
45221,43375.1,234.268
45042.6,43570,106.049
45239.1,43353.8,268.778
45244,43348.1,270.703
45124.3,43484.6,177.617
45423,43174.6,232.343
45282.1,43332.7,124.583
45190.5,43432.9,66.7068
45377.1,43235.4,160.082
45035.7,43573.8,185.707
45260.1,43347.8,218.567
45142.8,43460.4,271.322
45421.2,43193.9,161.149
45460.9,43150.1,171.74
45207.4,43403.9,229.913
45195.6,43410.7,264.674
45271,43354.2,105.792
45454.1,43092.5,208.203
45243.5,43324.4,59.8382
45184.5,43360.2,280.485
45024.6,43537.9,98.3727
45113.4,43431.5,215.269
44983.5,43568.1,210.464
45111.5,43450.5,118.508
44944.6,43621.4,77.5635
45168.6,43381.7,258.72
45456.5,43108.7,113.115
45387.6,43154.9,278.455
45143.1,43416.7,135.052
45065.5,43506.5,56.676
45044.8,43507,213.308
45062.3,43504,96.5823
45412.4,43147.7,151.445
45143.6,43424.1,74.1721
44959.6,43612.8,77.6291
45194.5,43380.1,58.0188
45059.6,43513,108.528
45445.3,43107,235.016
45452,43108.1,172.573
45364.5,43189.9,214.546
45121.5,43436,169.189
45222.4,43343.7,122.325
45461,43087.2,265.07
45035.4,43527.3,172.327
45163.1,43383.5,278.361
45201.4,43373.2,46.678
44936.2,43629.4,141.189
45425.9,43136.7,172.715
45077.4,43494.4,97.5471
45121,43432.1,250.391
45130.6,43418.9,275.221
45456.9,43112.9,150.733
45033.2,43542.9,78.2764
45054.1,43521.1,82.5717
45285.7,43264.4,275.911
45263.6,43318.8,65.0589
45367,43199.1,158.949
45444.8,43138.9,67.2264
45014.1,43558.5,118.527
45387.9,43168.3,262.121
45246,43337.5,67.881
45131.8,43429.9,204.598
45136,43423.6,244.446
45090,43478.8,190.307
45432.3,43132.2,210.411
