X,Y,Z
44793.8,43221.1,28.9473
44755.4,43328,25.8419
45193.6,43524.3,21.9012
45202.2,43514.1,25.9357
45329.6,43507.1,19.4893
45349.9,43557.8,23.1928
45338,43539.8,26.7215
45266.1,43571.1,25.8492
44697,43164.4,34.1079
45387.9,43505.5,39.9542
44688.6,43604.3,40.8447
44812.3,43068.2,43.2932
45459.8,43053.3,49.7762
45153.7,43170.3,43.5344
45386.7,43427.4,49.5599
45314.9,43494.6,43.476
45429.1,43503.6,43.5102
45429.2,43503.7,49.4161
45436.7,43534.9,49.3887
45441.1,43541.7,50.3403
44925.1,43632.2,43.6413
44929.4,43634.6,43.7869
45091.1,43576.8,43.476
45080.9,43586.4,44.0044
45092.8,43597.3,52.1946
45336.4,43580,46.5713
44682.1,43092.4,56.1188
44718.3,43330.2,61.7137
44694.8,43277.2,64.028
44767.9,43305,57.5854
45300.7,43363,61.2527
44660.9,43376.5,55.7481
45150.1,43447.3,54.8804
45351,43459.6,63.8258
44662.9,43558.8,64.9224
45241.2,43509.9,61.3728
45343.7,43519.7,55.8204
45365.5,43529.1,58.3769
45352.5,43519.1,60.9841
45416.8,43483.7,64.2142
45443.8,43548.4,55.1261
45442.9,43554.7,58.7034
45440.9,43557.4,61.1595
44885.5,43621.9,57.8824
45282.6,43567.5,54.5996
45321,43587,58.6507
45285.8,43593,61.9823
45393.2,43602.8,55.319
45390.7,43606.6,56.2918
45354.9,43584.4,61.1683
45420.9,43572.6,64.6352
45373.2,43574.7,63.4315
45444.6,42975.2,74.3092
45447,42973.9,76.0014
45442.1,42980.6,76.4033
44655.1,43235.7,73.7573
44803.9,43226,76.8183
44678.6,43282.6,68.5682
44666.6,43277,73.9032
45278.4,43320.5,67.5612
44660.1,43382.5,70.1091
44664.9,43431.7,70.0326
45333.1,43460.4,69.4976
45266.9,43420.6,73.4609
45275,43399.2,76.4054
45337,43458.5,68.0117
45163.8,43483,66.8792
45167.1,43485.5,70.5795
45172.9,43490.5,76.7866
45243.9,43522.9,70.431
45341.1,43486.6,69.0771
45374.4,43559.2,72.5057
44952.7,43625.3,73.6025
45108,43607.7,71.2226
45101.3,43611.1,70.3571
45103.3,43601,72.7628
45129,43608.6,73.4122
45290.7,43594.5,68.1516
45304.5,43584.4,70.6753
45448.1,42969.4,78.6943
45443.1,42981.4,85.4528
45425,43113,85.4637
44667.2,43273.1,79.0489
44694.1,43276.6,78.4967
44692.2,43348.7,79.7918
44670,43278,83.0266
44696.1,43276.4,86.2907
44682.2,43279.4,86.4115
44724,43315.5,85.7051
44671.7,43284.7,87.0587
45292.6,43356.5,88.366
44682.3,43417.1,81.7459
45222.6,43445.3,85.8827
45217.1,43458.1,88.3141
45394.4,43435.2,87.9493
45451.1,43453.6,79.4046
45182.8,43498.7,79.924
45233.8,43514.6,79.5391
45188.5,43486.9,83.4078
45218.5,43496,82.3128
45211.2,43497.8,82.6064
45182.1,43501.2,82.6605
45194.6,43543.5,82.2767
45232.3,43543.5,85.4747
45184.4,43502.1,88.392
45297.1,43533.4,81.7869
45277.1,43558.4,86.8857
45381.2,43522,79.2305
45103.1,43614.6,85.519
45392,43570.3,83.0636
45351.8,43606.1,82.1665
45421.7,43019.7,91.9446
45407.3,43150.1,91.0768
45408,43156.6,100.546
44807.2,43262.8,91.0599
44672.3,43280.8,94.0398
44974.9,43273.9,95.0176
45294.3,43358.9,91.488
45269.6,43338.9,94.3577
44671.5,43416.9,90.6752
44682.5,43412.8,97.5418
44679,43416.9,101.139
45209.7,43405.6,100.291
45287.9,43455.1,100.445
45112.6,43511.8,100.224
45178.9,43491.7,97.7962
45178.5,43493.9,100.08
45303.8,43509.8,97.1167
45320.4,43508.2,100.812
45398.7,43497,97.2844
45333.7,43551.3,97.6893
45461.8,43504,93.4246
45459.2,43506,96.3883
44680.4,43634.6,94.8368
44667.5,43634.6,97.1486
45253.4,43603.4,89.9739
45279.7,43567.7,93.544
45322.7,43616,101.366
45433.8,43611,92.1227
45432.6,43608.9,97.0923
45451.6,43579.6,100.87
45132.4,42977,110.338
44703.8,43066.3,103.564
45133.2,42981.6,110.593
44712.5,43104.3,111.795
45221.3,43077.5,106.588
45222.2,43078.2,109.252
45402.9,43139.1,103.276
45422.4,43151.1,103.291
44730.5,43237.1,104.321
44766.2,43252.9,106.22
44979.1,43241.1,103.742
44980.3,43233.2,111.934
45440.8,43228.5,106.371
44724.2,43299.9,102.773
45173.2,43290.2,110.213
45256.2,43316.2,102.755
45287.4,43339.7,106.437
44702.2,43410.2,106.667
44692.5,43376.5,112.392
44829.9,43372.8,106.619
44754.9,43370.4,112.017
45289.9,43378.2,106.309
45258.9,43434.9,106.199
45278.4,43456.9,113.137
44938.1,43514.2,109.773
45175.9,43492.7,102.764
45323.6,43490.3,103.615
45320.5,43508.4,106.166
45321.1,43506.6,112.849
45364,43498.9,106.589
45365.7,43486.8,108.946
45376.6,43525.7,112.073
45439,43487.9,109.812
44673.4,43634.6,108.213
45103.1,43600.6,103.719
45144.2,43634.6,103.443
45161.3,43572.5,107.004
45146.8,43629.4,109.386
45178.3,43634.6,109.159
45281,43579.1,109.429
45449.8,43575.9,103.821
45439.1,43603.1,103.456
45033.3,42933.1,118.716
45035.6,42921.7,124.338
45125.2,42949,120.95
45348.5,42951,124.55
45444.4,42888.8,121.367
45458.8,42909.6,124.215
44719,43070.8,115.308
45225.4,42987.2,118.345
45105,43150.3,115.54
45078.2,43101.2,121.652
45109.1,43148.6,121.417
44720.8,43243.3,118.539
44746.5,43241.5,122.503
44779.2,43230.3,117.802
44980.9,43227.5,121.736
44982,43224.2,124.893
45053,43234.1,119.187
45053.3,43237.2,122.304
45049.4,43231.9,124.71
45051.5,43235.1,124.355
45176.9,43246.4,114.923
45225.4,43229,118.872
45228.1,43240.9,118.364
45191,43282.3,118.481
45231.9,43270.3,122.125
45299.5,43293.3,123.891
45455.4,43336.9,124.264
44839.4,43370.9,115.607
44841.5,43371.3,120.987
45133.2,43437.2,116.004
45141.5,43445.5,118.558
45147,43451.3,121.739
45152.1,43457.8,125.299
45326.7,43459.8,114.851
45279.6,43416.1,118.346
45028.1,43465.8,123.98
44969.7,43504.5,124.9
45091.3,43558.9,118.477
45106.3,43505.8,124.165
45221.1,43468.1,118.218
45161.7,43501,118.276
45165.4,43507.7,118.352
45223.8,43558,124.647
45227.7,43559.8,123.954
45320.4,43505.5,116.073
45250.7,43544.7,114.339
45319.6,43504.1,121.001
45291.2,43513.4,124.322
45293.2,43518.1,124.542
